,dayOfWeek,dayOfMonth,month,year,isWeekend,timestamp,isHolidayCA,isHolidayUS
0,3,1,1,2003,0,2003-01-01,1,1
1,4,2,1,2003,0,2003-01-02,0,0
2,5,3,1,2003,0,2003-01-03,0,0
3,6,4,1,2003,1,2003-01-04,0,0
4,7,5,1,2003,1,2003-01-05,0,0
5,1,6,1,2003,0,2003-01-06,0,0
6,2,7,1,2003,0,2003-01-07,0,0
7,3,8,1,2003,0,2003-01-08,0,0
8,4,9,1,2003,0,2003-01-09,0,0
9,5,10,1,2003,0,2003-01-10,0,0
10,6,11,1,2003,1,2003-01-11,0,0
11,7,12,1,2003,1,2003-01-12,0,0
12,1,13,1,2003,0,2003-01-13,0,0
13,2,14,1,2003,0,2003-01-14,0,0
14,3,15,1,2003,0,2003-01-15,0,0
15,4,16,1,2003,0,2003-01-16,0,0
16,5,17,1,2003,0,2003-01-17,0,0
17,6,18,1,2003,1,2003-01-18,0,0
18,7,19,1,2003,1,2003-01-19,0,0
19,1,20,1,2003,0,2003-01-20,0,1
20,2,21,1,2003,0,2003-01-21,0,0
21,3,22,1,2003,0,2003-01-22,0,0
22,4,23,1,2003,0,2003-01-23,0,0
23,5,24,1,2003,0,2003-01-24,0,0
24,6,25,1,2003,1,2003-01-25,0,0
25,7,26,1,2003,1,2003-01-26,0,0
26,1,27,1,2003,0,2003-01-27,0,0
27,2,28,1,2003,0,2003-01-28,0,0
28,3,29,1,2003,0,2003-01-29,0,0
29,4,30,1,2003,0,2003-01-30,0,0
30,5,31,1,2003,0,2003-01-31,0,0
31,6,1,2,2003,1,2003-02-01,0,0
32,7,2,2,2003,1,2003-02-02,0,0
33,1,3,2,2003,0,2003-02-03,0,0
34,2,4,2,2003,0,2003-02-04,0,0
35,3,5,2,2003,0,2003-02-05,0,0
36,4,6,2,2003,0,2003-02-06,0,0
37,5,7,2,2003,0,2003-02-07,0,0
38,6,8,2,2003,1,2003-02-08,0,0
39,7,9,2,2003,1,2003-02-09,0,0
40,1,10,2,2003,0,2003-02-10,0,0
41,2,11,2,2003,0,2003-02-11,0,0
42,3,12,2,2003,0,2003-02-12,0,0
43,4,13,2,2003,0,2003-02-13,0,0
44,5,14,2,2003,0,2003-02-14,0,0
45,6,15,2,2003,1,2003-02-15,0,0
46,7,16,2,2003,1,2003-02-16,0,0
47,1,17,2,2003,0,2003-02-17,0,1
48,2,18,2,2003,0,2003-02-18,0,0
49,3,19,2,2003,0,2003-02-19,0,0
50,4,20,2,2003,0,2003-02-20,0,0
51,5,21,2,2003,0,2003-02-21,0,0
52,6,22,2,2003,1,2003-02-22,0,0
53,7,23,2,2003,1,2003-02-23,0,0
54,1,24,2,2003,0,2003-02-24,0,0
55,2,25,2,2003,0,2003-02-25,0,0
56,3,26,2,2003,0,2003-02-26,0,0
57,4,27,2,2003,0,2003-02-27,0,0
58,5,28,2,2003,0,2003-02-28,0,0
59,6,1,3,2003,1,2003-03-01,0,0
60,7,2,3,2003,1,2003-03-02,0,0
61,1,3,3,2003,0,2003-03-03,0,0
62,2,4,3,2003,0,2003-03-04,0,0
63,3,5,3,2003,0,2003-03-05,0,0
64,4,6,3,2003,0,2003-03-06,0,0
65,5,7,3,2003,0,2003-03-07,0,0
66,6,8,3,2003,1,2003-03-08,0,0
67,7,9,3,2003,1,2003-03-09,0,0
68,1,10,3,2003,0,2003-03-10,0,0
69,2,11,3,2003,0,2003-03-11,0,0
70,3,12,3,2003,0,2003-03-12,0,0
71,4,13,3,2003,0,2003-03-13,0,0
72,5,14,3,2003,0,2003-03-14,0,0
73,6,15,3,2003,1,2003-03-15,0,0
74,7,16,3,2003,1,2003-03-16,0,0
75,1,17,3,2003,0,2003-03-17,0,0
76,2,18,3,2003,0,2003-03-18,0,0
77,3,19,3,2003,0,2003-03-19,0,0
78,4,20,3,2003,0,2003-03-20,0,0
79,5,21,3,2003,0,2003-03-21,0,0
80,6,22,3,2003,1,2003-03-22,0,0
81,7,23,3,2003,1,2003-03-23,0,0
82,1,24,3,2003,0,2003-03-24,0,0
83,2,25,3,2003,0,2003-03-25,0,0
84,3,26,3,2003,0,2003-03-26,0,0
85,4,27,3,2003,0,2003-03-27,0,0
86,5,28,3,2003,0,2003-03-28,0,0
87,6,29,3,2003,1,2003-03-29,0,0
88,7,30,3,2003,1,2003-03-30,0,0
89,1,31,3,2003,0,2003-03-31,0,0
90,2,1,4,2003,0,2003-04-01,0,0
91,3,2,4,2003,0,2003-04-02,0,0
92,4,3,4,2003,0,2003-04-03,0,0
93,5,4,4,2003,0,2003-04-04,0,0
94,6,5,4,2003,1,2003-04-05,0,0
95,7,6,4,2003,1,2003-04-06,0,0
96,1,7,4,2003,0,2003-04-07,0,0
97,2,8,4,2003,0,2003-04-08,0,0
98,3,9,4,2003,0,2003-04-09,0,0
99,4,10,4,2003,0,2003-04-10,0,0
100,5,11,4,2003,0,2003-04-11,0,0
101,6,12,4,2003,1,2003-04-12,0,0
102,7,13,4,2003,1,2003-04-13,0,0
103,1,14,4,2003,0,2003-04-14,0,0
104,2,15,4,2003,0,2003-04-15,0,0
105,3,16,4,2003,0,2003-04-16,0,0
106,4,17,4,2003,0,2003-04-17,0,0
107,5,18,4,2003,0,2003-04-18,1,0
108,6,19,4,2003,1,2003-04-19,0,0
109,7,20,4,2003,1,2003-04-20,0,0
110,1,21,4,2003,0,2003-04-21,0,0
111,2,22,4,2003,0,2003-04-22,0,0
112,3,23,4,2003,0,2003-04-23,0,0
113,4,24,4,2003,0,2003-04-24,0,0
114,5,25,4,2003,0,2003-04-25,0,0
115,6,26,4,2003,1,2003-04-26,0,0
116,7,27,4,2003,1,2003-04-27,0,0
117,1,28,4,2003,0,2003-04-28,0,0
118,2,29,4,2003,0,2003-04-29,0,0
119,3,30,4,2003,0,2003-04-30,0,0
120,4,1,5,2003,0,2003-05-01,0,0
121,5,2,5,2003,0,2003-05-02,0,0
122,6,3,5,2003,1,2003-05-03,0,0
123,7,4,5,2003,1,2003-05-04,0,0
124,1,5,5,2003,0,2003-05-05,0,0
125,2,6,5,2003,0,2003-05-06,0,0
126,3,7,5,2003,0,2003-05-07,0,0
127,4,8,5,2003,0,2003-05-08,0,0
128,5,9,5,2003,0,2003-05-09,0,0
129,6,10,5,2003,1,2003-05-10,0,0
130,7,11,5,2003,1,2003-05-11,0,0
131,1,12,5,2003,0,2003-05-12,0,0
132,2,13,5,2003,0,2003-05-13,0,0
133,3,14,5,2003,0,2003-05-14,0,0
134,4,15,5,2003,0,2003-05-15,0,0
135,5,16,5,2003,0,2003-05-16,0,0
136,6,17,5,2003,1,2003-05-17,0,0
137,7,18,5,2003,1,2003-05-18,0,0
138,1,19,5,2003,0,2003-05-19,1,0
139,2,20,5,2003,0,2003-05-20,0,0
140,3,21,5,2003,0,2003-05-21,0,0
141,4,22,5,2003,0,2003-05-22,0,0
142,5,23,5,2003,0,2003-05-23,0,0
143,6,24,5,2003,1,2003-05-24,0,0
144,7,25,5,2003,1,2003-05-25,0,0
145,1,26,5,2003,0,2003-05-26,0,1
146,2,27,5,2003,0,2003-05-27,0,0
147,3,28,5,2003,0,2003-05-28,0,0
148,4,29,5,2003,0,2003-05-29,0,0
149,5,30,5,2003,0,2003-05-30,0,0
150,6,31,5,2003,1,2003-05-31,0,0
151,7,1,6,2003,1,2003-06-01,0,0
152,1,2,6,2003,0,2003-06-02,0,0
153,2,3,6,2003,0,2003-06-03,0,0
154,3,4,6,2003,0,2003-06-04,0,0
155,4,5,6,2003,0,2003-06-05,0,0
156,5,6,6,2003,0,2003-06-06,0,0
157,6,7,6,2003,1,2003-06-07,0,0
158,7,8,6,2003,1,2003-06-08,0,0
159,1,9,6,2003,0,2003-06-09,0,0
160,2,10,6,2003,0,2003-06-10,0,0
161,3,11,6,2003,0,2003-06-11,0,0
162,4,12,6,2003,0,2003-06-12,0,0
163,5,13,6,2003,0,2003-06-13,0,0
164,6,14,6,2003,1,2003-06-14,0,0
165,7,15,6,2003,1,2003-06-15,0,0
166,1,16,6,2003,0,2003-06-16,0,0
167,2,17,6,2003,0,2003-06-17,0,0
168,3,18,6,2003,0,2003-06-18,0,0
169,4,19,6,2003,0,2003-06-19,0,0
170,5,20,6,2003,0,2003-06-20,0,0
171,6,21,6,2003,1,2003-06-21,0,0
172,7,22,6,2003,1,2003-06-22,0,0
173,1,23,6,2003,0,2003-06-23,0,0
174,2,24,6,2003,0,2003-06-24,0,0
175,3,25,6,2003,0,2003-06-25,0,0
176,4,26,6,2003,0,2003-06-26,0,0
177,5,27,6,2003,0,2003-06-27,0,0
178,6,28,6,2003,1,2003-06-28,0,0
179,7,29,6,2003,1,2003-06-29,0,0
180,1,30,6,2003,0,2003-06-30,0,0
181,2,1,7,2003,0,2003-07-01,1,0
182,3,2,7,2003,0,2003-07-02,0,0
183,4,3,7,2003,0,2003-07-03,0,0
184,5,4,7,2003,0,2003-07-04,0,1
185,6,5,7,2003,1,2003-07-05,0,0
186,7,6,7,2003,1,2003-07-06,0,0
187,1,7,7,2003,0,2003-07-07,0,0
188,2,8,7,2003,0,2003-07-08,0,0
189,3,9,7,2003,0,2003-07-09,0,0
190,4,10,7,2003,0,2003-07-10,0,0
191,5,11,7,2003,0,2003-07-11,0,0
192,6,12,7,2003,1,2003-07-12,0,0
193,7,13,7,2003,1,2003-07-13,0,0
194,1,14,7,2003,0,2003-07-14,0,0
195,2,15,7,2003,0,2003-07-15,0,0
196,3,16,7,2003,0,2003-07-16,0,0
197,4,17,7,2003,0,2003-07-17,0,0
198,5,18,7,2003,0,2003-07-18,0,0
199,6,19,7,2003,1,2003-07-19,0,0
200,7,20,7,2003,1,2003-07-20,0,0
201,1,21,7,2003,0,2003-07-21,0,0
202,2,22,7,2003,0,2003-07-22,0,0
203,3,23,7,2003,0,2003-07-23,0,0
204,4,24,7,2003,0,2003-07-24,0,0
205,5,25,7,2003,0,2003-07-25,0,0
206,6,26,7,2003,1,2003-07-26,0,0
207,7,27,7,2003,1,2003-07-27,0,0
208,1,28,7,2003,0,2003-07-28,0,0
209,2,29,7,2003,0,2003-07-29,0,0
210,3,30,7,2003,0,2003-07-30,0,0
211,4,31,7,2003,0,2003-07-31,0,0
212,5,1,8,2003,0,2003-08-01,0,0
213,6,2,8,2003,1,2003-08-02,0,0
214,7,3,8,2003,1,2003-08-03,0,0
215,1,4,8,2003,0,2003-08-04,1,0
216,2,5,8,2003,0,2003-08-05,0,0
217,3,6,8,2003,0,2003-08-06,0,0
218,4,7,8,2003,0,2003-08-07,0,0
219,5,8,8,2003,0,2003-08-08,0,0
220,6,9,8,2003,1,2003-08-09,0,0
221,7,10,8,2003,1,2003-08-10,0,0
222,1,11,8,2003,0,2003-08-11,0,0
223,2,12,8,2003,0,2003-08-12,0,0
224,3,13,8,2003,0,2003-08-13,0,0
225,4,14,8,2003,0,2003-08-14,0,0
226,5,15,8,2003,0,2003-08-15,0,0
227,6,16,8,2003,1,2003-08-16,0,0
228,7,17,8,2003,1,2003-08-17,0,0
229,1,18,8,2003,0,2003-08-18,0,0
230,2,19,8,2003,0,2003-08-19,0,0
231,3,20,8,2003,0,2003-08-20,0,0
232,4,21,8,2003,0,2003-08-21,0,0
233,5,22,8,2003,0,2003-08-22,0,0
234,6,23,8,2003,1,2003-08-23,0,0
235,7,24,8,2003,1,2003-08-24,0,0
236,1,25,8,2003,0,2003-08-25,0,0
237,2,26,8,2003,0,2003-08-26,0,0
238,3,27,8,2003,0,2003-08-27,0,0
239,4,28,8,2003,0,2003-08-28,0,0
240,5,29,8,2003,0,2003-08-29,0,0
241,6,30,8,2003,1,2003-08-30,0,0
242,7,31,8,2003,1,2003-08-31,0,0
243,1,1,9,2003,0,2003-09-01,1,1
244,2,2,9,2003,0,2003-09-02,0,0
245,3,3,9,2003,0,2003-09-03,0,0
246,4,4,9,2003,0,2003-09-04,0,0
247,5,5,9,2003,0,2003-09-05,0,0
248,6,6,9,2003,1,2003-09-06,0,0
249,7,7,9,2003,1,2003-09-07,0,0
250,1,8,9,2003,0,2003-09-08,0,0
251,2,9,9,2003,0,2003-09-09,0,0
252,3,10,9,2003,0,2003-09-10,0,0
253,4,11,9,2003,0,2003-09-11,0,0
254,5,12,9,2003,0,2003-09-12,0,0
255,6,13,9,2003,1,2003-09-13,0,0
256,7,14,9,2003,1,2003-09-14,0,0
257,1,15,9,2003,0,2003-09-15,0,0
258,2,16,9,2003,0,2003-09-16,0,0
259,3,17,9,2003,0,2003-09-17,0,0
260,4,18,9,2003,0,2003-09-18,0,0
261,5,19,9,2003,0,2003-09-19,0,0
262,6,20,9,2003,1,2003-09-20,0,0
