NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Elyria Swansea,6687,5389,960,259,25,15,0,0,39,80.58920293,14.35621355,3.87318678,0.37385973,0.22431584,0,0,0.58322118,3485,3202,506,542,579,300,1048,1101,1021,701,1100,913,440,211,152,1927,672,28.81710782,10.04934948,32.5,30.9,35,6319,1790,95,159,433,400,403,212,88,4529,2876,605,1359,511,267,134,4023,1711,1109,598,605,6181,1945,4236,1938,1824,114,873,951,1824,1376,751,625,201,424,448,336,112,134,148,42,227,71,128,31,111,115,247,108,204,128,45,11,74,45943,48915,17508,45943,48915,28750,32813,25406,25417,27130,29877,33750,None,1951,0,0,61,133,26,220,108,462,279,649,894,1019,171600,4343,2344,15,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2329,2329,39,2281,9,0,20.3,19.5494186
Wellshire,3529,371,2932,26,0,81,0,0,119,10.51289317,83.08302635,0.73675262,0,2.29526778,0,0,3.37206007,1691,1838,266,242,164,148,508,383,176,449,465,493,442,320,293,820,981,23.23604421,27.79824313,45.2,42,48.2,3370,817,106,34,214,148,159,70,86,2553,1615,403,624,435,76,77,2538,60,233,458,1787,3263,2971,181,1448,1408,40,1256,152,1408,1032,877,155,30,125,376,321,55,25,8,30,47,13,20,33,43,81,115,91,125,134,92,194,357,114881,137250,62829,114881,137250,68958,97132,55250,None,36193,50795,73229,95735,1957,0,6,32,20,0,237,157,961,35,0,2018,2143,584500,3280,249,76,17,0,10,49,58,46,0,12,0,31,31,0,0,0,0,84,84,4,71,9,0,3.8,2.03488372
University,9576,720,7672,261,5,677,0,0,241,7.5416306,80.42626342,2.93100355,0.04038772,6.65916484,0,0,2.40154986,4953,4623,378,318,271,84,696,2102,2977,1496,840,481,682,182,120,1051,602,10.31563494,5.93294445,25.3,25.6,24.75,9306,4659,140,34,294,179,109,3226,677,4647,4313,1208,1810,1007,158,130,5138,79,427,958,3674,9198,7761,313,3831,3511,320,1810,1701,3511,1384,1076,308,170,138,2127,1473,654,442,139,194,94,216,149,116,127,67,288,242,232,344,364,238,259,57594,103862,34148,57594,103862,49536,55983,40092,None,35511,27356,53718,58067,1955,38,21,135,83,146,363,601,898,661,885,1069,1190,417800,8561,1015,258,50,160,0,48,504,416,28,18,42,75,27,0,0,38,0,178,144,19,64,61,34,17.65,4.9230879
Rosedale,2498,254,2101,35,10,92,0,0,6,10.16813451,84.10728583,1.4011209,0.40032026,3.68294636,0,0,0.24019215,1280,1218,85,127,33,37,212,70,459,705,320,305,178,79,170,282,381,11.28903122,15.25220176,35.5,33.8,38.3,2430,375,24,39,67,29,41,97,78,2055,1600,235,891,285,152,37,2159,37,175,402,1545,2413,2225,84,1439,1298,141,706,592,1298,517,446,71,39,32,781,573,208,73,26,61,6,53,64,61,45,14,94,103,215,136,104,132,111,82959,109583,53643,82959,109583,52173,54297,50926,None,None,30781,61667,63250,1952,25,40,105,86,137,65,56,256,296,373,1518,1518,438500,2346,152,48,8,0,0,40,39,30,0,9,0,0,0,0,0,0,0,65,59,11,27,21,6,8.7,1.93423598
Cheesman Park,8895,747,7269,342,45,225,28,1,238,8.07479321,82.16332498,3.55507558,0.67608173,2.81240986,0.25148195,0.0089815,2.45785119,4625,4270,229,63,179,77,292,303,2233,2294,948,860,1158,530,277,548,1669,5.61071057,21.07495848,36.75,39.2,35.05,8715,953,30,14,31,154,123,339,262,7762,5707,1348,2649,1255,231,224,7976,134,478,2045,5319,8666,7828,355,5775,5338,437,1917,3421,5338,1483,1172,311,99,212,3855,2850,1005,278,194,163,102,242,326,298,353,179,485,623,690,424,241,374,366,59970,106492,53270,59970,106492,47132,47554,44684,None,35286,31093,41586,63770,1961,146,9,61,132,252,1035,1604,389,281,1866,1100,1160,317200,8276,619,270,59,50,88,73,109,53,34,22,0,78,0,0,0,0,0,162,104,41,38,25,58,10.3,4.3699187
Hilltop,9510,490,8151,324,86,228,0,61,170,4.90892532,86.49063426,3.09735476,0.809885,2.28631433,0,0.75870647,1.64817987,4203,5307,941,594,573,184,1535,816,766,1432,1331,1250,1215,610,555,2292,2120,24.57099747,22.20856102,42.2,43.85,40.05,8935,2149,252,99,521,456,280,291,250,6786,3960,869,1808,882,222,179,6672,121,435,724,5392,8569,7759,248,4042,3923,119,2916,1007,3923,2487,2131,356,93,263,1436,1155,281,142,73,52,140,62,63,89,65,73,194,295,332,331,356,346,1310,141230,183406,100787,141230,183406,85006,108921,62981,None,32932,82210,84844,101286,1961,47,36,604,295,157,462,405,1077,481,478,1748,1958,771850,8833,677,361,60,107,55,139,193,66,8,6,113,35,0,0,0,0,42,46,16,6,0,10,30,5.1,3.01909052
Montclair,5896,892,4683,34,24,95,0,34,134,15.12890095,79.42672999,0.57666214,0.40705563,1.61126187,0,0.57666214,2.27272727,2808,3088,333,303,192,143,636,425,946,1125,939,657,708,259,201,971,866,16.4687924,14.68792402,39.1,39.2,38.7,5646,1146,131,87,179,127,158,268,196,4500,3241,402,1620,944,148,127,4569,189,396,667,3317,5563,4867,391,2923,2816,107,2014,802,2816,1248,985,263,44,219,1568,1202,366,90,55,49,91,53,55,66,29,90,183,243,542,384,206,230,450,94861,120543,59705,94861,120543,58068,62075,56235,14114,35321,44335,72607,73485,1947,0,18,59,136,96,92,138,574,1188,622,1343,1481,385800,5315,581,93,0,0,0,93,159,34,110,15,0,17,17,0,0,0,24,288,224,0,186,38,64,5.7,6.08974359
Hale,7060,639,5594,351,23,308,0,0,145,8.81048448,81.1483651,4.43372025,0.33730477,3.42117225,0,0,1.84895315,3385,3675,379,317,168,46,696,222,1110,1807,1126,906,613,345,235,910,1064,13.67483561,15.91069075,38.4,39.75,37.35,6775,1123,96,86,234,137,64,270,236,5652,4090,1248,1792,665,200,185,5909,213,534,1618,3544,6681,5983,225,4521,4128,393,1882,2246,4128,1452,1054,398,84,314,2676,2151,525,408,248,113,104,196,155,147,247,247,375,383,473,226,239,347,220,65704,96830,46143,65704,96830,51400,52892,50471,None,41154,38904,54996,63918,1951,101,33,76,110,151,421,708,789,1153,979,1024,1074,365200,6397,663,174,30,44,0,100,218,152,12,15,17,29,14,0,0,0,0,242,234,0,170,64,8,11.1,4.38633976
North Park Hill,10351,1212,5679,2733,92,112,0,135,388,11.97020346,54.28481293,26.58671728,0.94533498,1.06155262,0,1.31528051,3.83609823,5141,5210,848,694,451,221,1542,780,942,2338,1827,948,977,727,270,2214,1914,21.21784705,18.37991069,37.75,36.95,38.9,9812,2179,170,218,449,389,379,304,270,7633,5319,652,2959,1150,264,294,7770,882,973,1671,4244,9503,8431,839,4273,4139,134,3599,540,4139,2610,1916,694,178,516,1529,1095,434,236,70,50,117,85,115,140,75,71,319,300,668,459,332,499,603,96184,107840,45777,96184,107840,54988,62797,45873,17662,None,43951,55208,80688,1945,0,0,48,54,36,36,186,1191,1394,1328,1074,1270,361500,9677,674,21,21,0,0,0,94,0,0,94,0,99,0,0,13,0,0,460,412,8,404,0,48,7.3,6.57209613
South Park Hill,9491,865,7245,850,29,258,0,0,244,9.14949401,76.20883794,9.04141034,0.29852146,2.73564613,0,0,2.56609013,4540,4951,722,615,468,192,1337,1047,855,1438,1312,1280,1511,559,152,1997,2098,20.93221582,22.17509914,39.8,39.9,39.7,8994,2234,172,152,451,380,291,657,131,6760,4260,989,1918,969,220,164,6685,305,416,1165,4799,8769,7724,583,3834,3725,109,3030,695,3725,2475,2179,296,73,223,1250,972,278,105,117,92,91,77,145,71,69,68,208,238,451,469,332,409,783,105704,132762,56392,105704,132762,56084,65378,53610,31250,49010,33630,64479,72914,1939,0,50,103,56,27,94,115,428,506,2455,933,1015,528750,8627,864,149,89,19,10,31,194,30,87,6,71,73,8,25,19,13,19,429,337,12,315,10,92,8.15,6.13808599
